"Case","Steady_State","Anode_Out_Flow","Anode_Out_H2_mole_frac","Anode_Out_N2_mole_frac","Anode_Out_H2Ovap_mole_frac","Anode_Out_H2Oliq_mole_frac","Anode_Out_RH","Anode_Out_Temperature","Anode_Out_Dew_Temperature","Anode_In_Pressure","Anode_Lambda","Cathode_Out_Flow","Cathode_Out_O2_mole_frac","Cathode_Out_N2_mole_frac","Cathode_Out_H2Ovap_mole_frac","Cathode_Out_H2Oliq_mole_frac","Cathode_Out_RH","Cathode_Out_Temperature","Cathode_Out_Dew_Temperature","Cathode_In_Pressure","Cathode_Lambda","Coolant_Out_Flow","Coolant_Out_Temperature","Coolant_In_Pressure","Membrane_Humidity","Membrane_Water_Content_Average","Hydrogen_Crossover","Oxygen_Crossover","Nitrogen_Crossover","Water_Crossover","Voltage","Voltage_Loss_Activation","Voltage_Loss_Transport","Voltage_Loss_Ohmic","Electrical_Power","Fuel_Power","Fuel_Efficiency"
367,1.0,12.730941,0.35955334,0.049108855,0.019570863,0.571767,0.99999964,46.158775,46.158775,2.3329608,1.9870864,130.93843,0.16516326,0.76234037,0.07249635,0.0,0.77355313,55.168907,50.313713,2.0343554,5.3109846,136.23445,54.504997,2.1015139,0.62183875,5.8215995,0.0049788994,0.039475914,0.009989106,10.155479,323.51553,61.238792,0.93755263,35.02122,48.52733,86.20196,0.5636338
368,1.0,7.465257,0.24160878,0.033058066,0.060286097,0.66504705,1.0,66.440636,66.440636,1.556144,1.3589717,53.140537,0.10303808,0.72216195,0.17479995,0.0,0.786374,75.286736,70.044334,1.885072,2.152817,126.937706,69.95736,2.6309872,0.53104043,5.1886263,0.0047454117,0.037624672,0.015912317,5.5624123,331.76254,44.955017,1.406985,30.514055,49.76438,86.17396,0.57753396
369,1.0,8.229656,0.6950839,0.057922512,0.13341367,0.11357988,0.99999946,62.388145,62.388145,1.6037902,3.1277876,54.3026,0.1146172,0.76574033,0.11964247,0.0,0.79163927,68.30352,62.880302,2.0288157,2.2793999,135.10783,66.432915,2.413197,0.72935426,6.8047795,0.004960517,0.039330166,0.017584901,3.2979176,338.99274,47.80986,1.219344,25.298018,50.848907,86.19975,0.58996445
370,0.0,9.1880865,0.40817207,0.12272221,0.11115225,0.35795346,0.99999976,62.637016,62.637016,1.417797,1.8406711,41.512802,0.0802727,0.72274876,0.19697855,0.0,0.8864814,71.52645,68.80157,1.5466579,1.719375,123.612015,69.15313,2.086017,0.61602145,6.378276,0.0038138013,0.030238265,0.0115473475,4.0104194,323.7842,54.11273,1.6146245,28.93026,48.56763,86.06222,0.5678195
371,1.0,0.7781393,0.6244711,0.27963027,0.095898606,0.0,0.81764305,64.571526,60.504936,2.1576226,1.1237012,105.13204,0.13162445,0.66278213,0.2055934,0.0,0.7259053,70.42181,62.840904,1.4494358,3.9203,127.58027,68.24923,1.9135767,0.9241946,11.080807,0.007356102,0.0583239,0.00950121,-0.46992216,343.26794,53.367676,1.26475,16.172031,51.490192,86.48708,0.59481764
372,1.0,7.024602,0.17505163,0.0055345423,0.039371338,0.78004247,1.0,70.09878,70.09878,1.7898283,1.2246823,74.49611,0.120207526,0.6897046,0.1900879,0.0,0.62736803,76.40032,65.4511,1.5594872,2.8876357,127.64308,71.28228,2.731516,0.45947972,3.7479374,0.0050926576,0.04037786,0.011781172,5.419086,324.34753,45.005108,1.157559,37.708546,48.65213,86.21561,0.5644572
373,1.0,10.934405,0.29055065,0.11668784,0.06413749,0.52862406,0.9999993,70.43423,70.4342,2.4051428,1.5905033,61.811485,0.10966624,0.6996683,0.19066544,0.0,0.7692963,77.00515,70.94726,1.8498679,2.4265337,126.740585,71.783775,2.1557846,0.69254476,6.037919,0.007805343,0.06188577,0.015250466,6.90682,341.42776,41.999294,1.2037737,25.05956,51.214165,86.54096,0.5918665
374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
375,1.0,1.8854511,0.8227784,0.096205145,0.08101646,0.0,0.4630914,70.34792,53.102562,1.8498704,1.7305021,83.05488,0.12915389,0.70047635,0.17036976,0.0,0.52147186,74.61791,60.200737,1.4208195,3.242231,135.7034,71.59026,2.4584625,0.5369941,3.737317,0.004764599,0.037776798,0.00932657,-0.4119433,326.02487,46.305187,1.2577765,37.553104,48.903732,86.176254,0.56751806
376,1.0,19.235025,0.42290843,0.019832157,0.03984594,0.5174135,1.0000004,55.2958,55.2958,2.1465802,2.957743,84.93224,0.14678748,0.769245,0.08396748,0.0,0.6344553,62.71969,52.954216,1.955112,3.519137,135.85628,59.493248,1.780954,0.5834695,4.3208313,0.0050113434,0.03973315,0.0119686695,14.186262,322.11032,54.133213,0.34420848,40.30347,48.316547,86.20585,0.5605898
377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
379,1.0,17.176126,0.45066264,0.26297784,0.12676074,0.15959877,0.9999991,72.05196,72.05193,2.41474,2.5892913,58.879135,0.088600464,0.62274766,0.28865185,0.0,0.8454251,75.05526,71.29781,1.3247072,2.1445086,139.14493,71.50002,2.8203404,0.87757057,10.416263,0.007089649,0.05621129,0.003281926,4.7634726,338.65204,52.199238,1.426003,16.788338,50.797806,86.455124,0.58753204
380,1.0,5.72422,0.5770949,0.03480027,0.22853199,0.15957285,1.0,71.351494,71.351494,1.2876494,2.0162532,96.14676,0.12683347,0.6589892,0.21417733,0.0,0.59239066,75.11309,63.060936,1.4015882,3.5957797,127.83482,71.55712,2.4236515,0.67390424,5.245335,0.0038512417,0.030535117,0.011104343,2.9860272,330.97653,47.33964,1.1693811,27.642443,49.64648,86.06671,0.5768968
381,1.0,17.857458,0.6521911,0.16939491,0.08716658,0.091247424,1.0,61.152397,61.152397,2.3635361,4.465792,79.54696,0.13698457,0.7446759,0.11833956,0.0,0.78078055,68.181816,62.502556,2.0649443,3.2265072,126.14113,67.14425,2.1496506,0.8059674,8.085303,0.00692194,0.054881588,0.014804298,4.2364044,346.23584,47.19122,1.0516742,21.705061,51.93538,86.435005,0.60110515
382,1.0,11.274085,0.38936692,0.0897182,0.108239055,0.41267583,0.9999995,62.142174,62.142143,1.2993896,1.9416051,112.30138,0.14909096,0.7217105,0.12919857,0.0,0.6398095,71.88351,61.74862,1.948906,4.442783,127.471,67.78402,2.7666333,0.671236,6.1241584,0.003968424,0.031464215,0.014798887,7.3471427,336.7219,45.462135,0.97154987,26.886562,50.50828,86.080765,0.58623147
383,1.0,4.7451067,0.8438518,0.023427324,0.13272086,0.0,0.8710212,62.339134,59.631096,1.5544281,3.2780452,129.23566,0.1476048,0.6934748,0.15892035,0.0,0.5506522,70.96502,57.49032,1.5481749,4.9596252,122.16218,68.45635,1.7768642,0.773153,7.015396,0.0049293456,0.03908302,0.012484609,0.119489744,337.7608,50.387257,1.1783086,23.254427,50.66412,86.196014,0.58704257
384,1.0,7.9151144,0.46427763,0.01410947,0.08517191,0.43644097,0.9999992,71.465294,71.46526,2.272944,1.9141556,111.00778,0.14266327,0.69840515,0.15893155,0.0,0.7085197,76.1672,68.21105,2.0758789,4.2756047,123.35395,71.4504,2.0556242,0.6668526,5.76046,0.0079119615,0.06273111,0.01934485,6.3006897,348.09583,37.854515,1.0180566,25.854021,52.214375,86.55375,0.60331434
385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
388,1.0,6.6321545,0.42754272,0.076817386,0.08843702,0.40720287,0.99999964,62.03515,62.03512,1.5475416,1.640775,49.714622,0.10199095,0.74395156,0.1540575,0.0,0.77268547,70.53423,64.291954,1.7052813,2.0599396,127.453865,68.50417,1.8260303,0.588794,5.5278087,0.004251275,0.03370684,0.012948495,4.268419,327.84067,51.352123,1.3855958,30.411808,49.1761,86.114685,0.5710155
389,1.0,6.4039483,0.39353895,0.044819005,0.050405547,0.5112365,0.9999998,54.37963,54.37963,1.5580865,1.5697947,76.416374,0.124947906,0.7029611,0.17209102,0.0,0.737717,64.385765,57.90374,1.2939022,3.0012844,129.02919,63.89187,2.532823,0.7009815,7.274098,0.004144638,0.032861352,0.00826063,4.5104537,324.17905,62.54815,1.2610431,25.625628,48.626858,86.1019,0.56400716
390,1.0,14.409881,0.1301077,0.14947931,0.036372844,0.6840401,0.9999997,56.798637,56.798637,1.6130438,1.284582,87.52169,0.15318497,0.7884444,0.058370657,0.0,0.43717316,66.29403,49.025658,2.171979,3.6857479,138.03323,64.07351,2.383067,0.3035139,2.7558365,0.0035169104,0.027884325,0.01136989,7.735608,304.4518,48.356422,0.49090517,56.530006,45.667774,86.02661,0.5311751
391,1.0,13.42146,0.5193841,0.09137914,0.050137497,0.3390993,0.99999964,54.592003,54.592003,2.1769412,2.7495718,31.350996,0.06277749,0.8113163,0.12590623,0.0,0.8166976,63.081596,58.914604,1.5780573,1.4092317,122.19202,61.672813,2.6875246,0.63834476,5.264005,0.0047824564,0.037918385,0.01015412,7.9538574,316.18805,63.602192,1.5222412,34.446095,47.428207,86.1784,0.5505419
392,1.0,12.779273,0.6358756,0.026185827,0.10580382,0.23213476,0.99999994,69.10073,69.10073,2.2975166,3.7697117,120.446556,0.1493953,0.7121601,0.13844459,0.0,0.68120193,74.698784,65.77068,2.1658185,4.6906075,124.41606,70.12075,1.8104677,0.71714747,6.247792,0.007921092,0.06280351,0.019826492,8.466096,349.98407,38.624218,0.8630878,24.70728,52.49761,86.55485,0.6065954
393,1.0,7.368191,0.486174,0.022662835,0.1354829,0.35568026,0.99999976,66.97445,66.97445,1.3853177,1.9465908,80.38422,0.124802954,0.6898751,0.18532194,0.0,0.7797371,74.45626,68.89684,1.7913058,3.1112015,123.24949,69.94601,2.2024357,0.705697,6.984839,0.004783682,0.037928104,0.016482377,3.5197384,340.0273,44.5924,1.2568308,23.364084,51.004097,86.17854,0.59169966
394,1.0,14.940924,0.49419925,0.15425493,0.17457159,0.17697425,0.9999998,68.02099,68.02099,1.4892455,2.8128626,69.97457,0.11470119,0.68260044,0.20269836,0.0,0.7670308,73.05102,66.91079,1.5154213,2.6901805,126.750824,70.76086,2.501733,0.7937807,8.111498,0.0044551753,0.03532349,0.011443216,4.538029,336.8579,49.300404,1.2044995,20.870478,50.528687,86.139145,0.5865685
395,1.0,10.5464,0.57624644,0.14593758,0.09261823,0.18519774,0.99999994,58.66073,58.66073,1.7457867,2.6162534,47.378914,0.10156642,0.7629102,0.1355234,0.0,0.79929084,67.38784,62.347343,1.753203,1.9989694,128.90399,66.401665,1.6178867,0.69517463,6.6505084,0.00456327,0.036180537,0.012363577,3.944534,330.9295,53.975742,1.3381988,27.156145,49.639427,86.15211,0.5762729
396,1.0,11.978509,0.45010576,0.1804198,0.12665789,0.24281655,0.99999994,66.30041,66.30041,1.705068,2.1341703,47.352936,0.099079415,0.7517706,0.14914997,0.0,0.8028949,74.02398,69.187706,2.103886,1.97862,122.935455,70.66479,2.3754444,0.669433,6.220084,0.0049453564,0.039209962,0.017371206,4.3930764,338.65582,43.604275,1.3238579,26.382177,50.79837,86.19794,0.58954066
397,1.0,12.916578,0.56919,0.008641279,0.09911029,0.3230584,0.99999964,58.139397,58.139397,1.4079701,3.3191798,53.459297,0.11419792,0.7693541,0.11644797,0.0,0.8287157,67.2766,62.994286,2.085228,2.2557495,124.19202,65.13506,2.2543478,0.63148767,5.5578437,0.004032219,0.03197002,0.01631947,7.2931104,330.96237,49.997433,1.1259711,31.02267,49.644356,86.08842,0.57698995
398,1.0,10.93905,0.46521074,0.059193518,0.083957255,0.3916385,0.99999964,61.19979,61.19979,1.6268888,2.2547424,48.446636,0.106583126,0.77629733,0.11711953,0.0,0.7379342,71.21697,64.02682,2.1629915,2.065647,136.56404,67.89687,1.6619631,0.63066036,5.7443056,0.0047661737,0.037789285,0.01755496,7.6357822,334.9514,46.74507,1.2021748,29.507137,50.24271,86.176445,0.58297163
399,0.0,5.992739,0.5639027,0.03576772,0.14130864,0.25902095,0.9999998,70.55608,70.55608,1.7411041,1.9550622,107.3713,0.14552493,0.7141999,0.14027518,0.0,0.7465406,75.32287,68.69512,2.3847733,4.1967583,126.17562,72.90801,1.8050232,0.72578984,6.906951,0.0066624084,0.052823853,0.024009634,2.2899501,352.32025,35.631676,1.1323864,22.774752,52.848038,86.40388,0.6046566
400,1.0,9.379616,0.2371895,0.06252163,0.020975001,0.67931384,1.0,49.717857,49.717857,1.9247322,1.3933841,56.533085,0.12887055,0.8134065,0.05772293,0.0,0.46792427,59.27053,43.819237,1.6806728,2.4642255,127.78882,56.788353,2.048465,0.310971,2.7823284,0.0034053926,0.027000139,0.00764743,6.444348,292.46262,61.303513,0.81521356,60.761963,43.869392,86.01323,0.51020116
401,1.0,6.319827,0.35743105,0.04204137,0.063329525,0.53719807,1.0000001,63.21392,63.21392,1.7532458,1.4904292,108.2573,0.1439061,0.70722026,0.14887363,0.0,0.6019112,72.1412,60.818687,1.6839573,4.2241683,124.010956,68.54058,1.7704694,0.59438187,4.8422227,0.004894699,0.038808316,0.0119750695,4.803777,331.62827,47.791992,1.0736941,31.624695,49.74424,86.19186,0.5766779
402,1.0,5.671196,0.60085446,0.099459216,0.10922813,0.19045822,0.99999994,55.912224,55.912224,1.2997546,1.9904449,100.16689,0.13980587,0.70446855,0.1557256,0.0,0.5876456,67.87243,56.02218,1.3943449,3.9130597,126.53011,65.70489,2.6010678,0.75826573,7.5496993,0.0035909333,0.028471224,0.009170436,2.098698,328.97253,57.872,1.1899816,24.03236,49.34588,86.035484,0.572374
403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
404,1.0,10.572409,0.5202108,0.025532778,0.07576318,0.37849325,0.9999995,59.235283,59.235283,1.6837488,2.5685267,69.62715,0.13045421,0.7520333,0.117512465,0.0,0.81114256,68.12658,63.244347,2.1219177,2.8623815,127.94055,66.12557,1.8672528,0.5810421,5.513988,0.0047985674,0.03804612,0.015566865,5.7108655,332.7753,48.018166,1.2054821,32.108093,49.916294,86.18033,0.57942134
405,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
406,1.0,8.725388,0.50619245,0.3383064,0.15550117,0.0,0.77483255,68.01144,62.216545,1.5267978,1.8896382,102.37986,0.14557868,0.7243188,0.13010253,0.0,0.7403426,73.00811,66.00805,2.242347,4.0619774,140.74745,70.694145,1.7936394,0.83846796,8.59097,0.0048355474,0.038339324,0.018160066,0.56014335,350.44965,38.919495,1.1627449,19.026068,52.567448,86.18477,0.609857
407,0.0,5.0697346,0.7836483,0.005814821,0.10179001,0.108746834,0.9999995,61.620323,61.620323,1.9634447,2.9176412,137.48224,0.15992188,0.7368599,0.10321821,0.0,0.7759606,66.26122,60.88729,2.289353,5.462575,136.33955,64.318535,2.5128984,0.8006189,8.350235,0.0070707663,0.056061573,0.020279935,2.224397,349.52197,44.768784,1.060151,21.643797,52.428295,86.45286,0.6054522
408,1.0,7.4905314,0.3267018,0.010965519,0.046961274,0.6153714,1.0000005,56.71093,56.71093,1.4832509,1.5226954,35.782722,0.07843345,0.8001755,0.121391065,0.0,0.7766737,68.93322,62.979515,1.9735162,1.5841029,128.46735,66.37722,2.4272761,0.43696257,4.154038,0.0036607222,0.029024556,0.013829895,6.0416613,315.06006,53.91157,1.6605433,40.97888,47.25901,86.04385,0.54937613
409,1.0,10.010619,0.62198055,0.06940714,0.16252595,0.14608638,1.0,64.004234,64.004234,1.4091766,2.9956253,48.73703,0.10004714,0.74343324,0.1565196,0.0,0.8792921,70.47317,67.252495,1.8833381,2.0190525,138.49155,68.61111,2.7704353,0.72994834,7.443918,0.00445325,0.035308227,0.016792476,2.8167381,336.69418,48.366665,1.3782492,24.120491,50.504128,86.138916,0.58628756
410,1.0,13.553679,0.3111319,0.023152249,0.020883348,0.6448325,1.0,50.839836,50.839836,2.2829976,1.8967862,82.95548,0.15097797,0.7924172,0.056604806,0.0,0.60110795,58.878777,48.412315,2.1830795,3.5052438,136.40819,56.74328,1.8255917,0.55971664,4.274158,0.0049539087,0.03927777,0.012220161,11.31938,318.80786,55.887047,0.4955661,44.092117,47.82118,86.19896,0.55503535
411,1.0,11.541383,0.58382684,0.02439768,0.06618738,0.32558808,0.99999976,60.564384,60.564384,2.1944191,3.1128879,41.51214,0.090151615,0.7737569,0.13609149,0.0,0.8295576,67.92559,63.553703,1.8311415,1.7759366,127.4957,65.91827,2.5054505,0.6554481,5.6538095,0.005991313,0.047502976,0.014706598,7.725577,330.79388,53.021927,1.2586768,30.220808,49.619083,86.32339,0.57507074
412,1.0,11.513009,0.611991,0.083669014,0.18650243,0.11783755,1.0,67.72277,67.72277,1.4799323,3.1225033,153.6136,0.14814006,0.6723415,0.17951842,0.0,0.52037376,72.31237,57.68087,1.579243,5.7629223,121.49339,69.59414,1.7506796,0.71361077,6.0579786,0.004342486,0.03443002,0.011037307,4.8510065,335.68176,47.415188,1.0045179,25.55391,50.352264,86.125626,0.584483
413,1.0,4.979096,0.85809356,0.03748237,0.10442409,0.0,0.66855246,68.507225,59.722527,1.9684074,3.559243,64.346855,0.10522711,0.66698086,0.22779202,0.0,0.69716936,73.766594,65.38558,1.3241632,2.4492137,133.7778,70.849846,2.182068,0.74661064,6.238639,0.0060178125,0.047713082,0.011075973,-0.4426926,334.50162,51.14305,1.4265438,24.358543,50.17524,86.32657,0.5811277
414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
415,1.0,9.170296,0.34721148,0.0029228372,0.020163566,0.6297021,1.0,48.583305,48.583305,2.198689,1.6882838,129.93791,0.17072181,0.78572893,0.043549232,0.0,0.45211616,57.93746,42.09011,2.1632762,5.40544,123.274124,56.365837,1.8791302,0.3765071,3.0461276,0.004144273,0.03285846,0.009929146,7.2897596,306.30283,55.957165,0.66707605,56.356514,45.945423,86.10185,0.5338675
416,0.0,9.580889,0.68172514,0.034670234,0.1278227,0.15578191,0.9999998,69.51028,69.51028,2.1192594,3.2265737,78.25673,0.12189887,0.68354183,0.19455929,0.0,0.76416296,73.56661,67.38607,1.711794,2.9925387,138.05386,71.18197,1.7716632,0.79258776,8.035629,0.0075619696,0.059956152,0.016098967,4.1983767,345.56302,45.164402,1.1672571,20.803501,51.834454,86.51177,0.5988285
417,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
418,1.0,11.600207,0.7341748,0.05740229,0.09204834,0.11637459,1.0,53.071587,53.071587,1.5515292,4.4752784,88.0092,0.14606096,0.75783193,0.09610709,0.0,0.75352776,63.18087,57.07653,2.0056665,3.6121857,131.38652,63.419884,1.8935246,0.7504889,7.166844,0.00440752,0.03494565,0.014545608,3.5031364,336.17252,53.30139,1.0715724,25.789766,50.425877,86.13343,0.58542055
419,1.0,4.7448173,0.4189226,0.049424537,0.10581617,0.42583668,0.9999992,62.378624,62.378624,1.2651167,1.4703385,82.536095,0.13048396,0.7070822,0.16243385,0.0,0.6552637,69.53857,60.139854,1.4606273,3.2490883,137.7418,67.86849,2.2089467,0.6039414,5.029864,0.003410718,0.027042361,0.010244876,2.9594948,324.3901,52.980194,1.1863571,31.46575,48.658516,86.01387,0.5654914
420,1.0,7.3521447,0.43078166,0.12481529,0.10517175,0.33923128,0.99999976,65.47399,65.47399,1.6863832,1.6572887,45.907036,0.09849656,0.76323736,0.13826612,0.0,0.77546257,74.25628,68.52758,2.203253,1.9399748,122.45886,70.15536,1.5847576,0.59132123,5.6320066,0.005025002,0.039841443,0.018570803,3.9475265,336.8927,43.05997,1.4174093,29.16715,50.533905,86.20749,0.5862751
421,0.0,6.7916174,0.6102327,0.04888214,0.11521004,0.2256751,0.99999976,60.739555,60.739555,1.4750806,2.4584365,64.81219,0.108147636,0.668793,0.22305936,0.0,0.80952805,66.419334,61.818413,1.2121907,2.5034142,134.60341,63.930595,2.8138645,0.70110506,6.972912,0.004033463,0.031979885,0.008382309,1.0342362,322.5841,60.215477,1.4147183,27.076359,48.387615,86.08856,0.56206733
422,1.0,16.602434,0.58847743,0.05420379,0.08440137,0.2729174,0.99999976,57.978172,57.978172,1.7541764,4.002674,91.56924,0.14687264,0.7524307,0.10069667,0.0,0.82203966,66.05016,61.819145,2.3330162,3.7324018,140.18506,64.52822,1.9062011,0.67324173,6.3010163,0.005158907,0.04090313,0.017254662,7.36815,339.1338,46.92558,0.99258006,28.555368,50.870068,86.22355,0.5903023
423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
424,1.0,22.160051,0.31435472,0.16713189,0.07163633,0.4468771,0.9999992,58.020714,58.020683,1.5745428,2.338582,72.59799,0.13286522,0.7502753,0.11685948,0.0,0.8064598,67.85903,62.907524,2.1245623,2.9718926,121.60113,65.393974,2.2309759,0.6508438,5.873414,0.004170426,0.03306582,0.014291405,10.502954,331.37012,48.964027,0.8378077,30.50632,49.705517,86.10499,0.5775008
425,1.0,6.659737,0.6398699,0.0078285355,0.147184,0.20511754,0.9999998,64.11758,64.11758,1.3996166,2.5767622,59.07141,0.112256974,0.7349758,0.1527672,0.0,0.7082214,70.30123,62.216637,1.5859758,2.3996053,134.33879,68.70113,2.123595,0.7100217,6.660602,0.0043744175,0.034683194,0.013716735,4.317921,332.69766,51.1922,1.2154185,25.89064,49.90465,86.129456,0.5793989
426,0.0,3.5458572,0.33680558,0.14491424,0.09154053,0.42673963,1.0000004,68.75991,68.75991,1.891274,1.1808403,58.710716,0.11794906,0.7423311,0.13971987,0.0,0.7911969,74.5985,69.20721,1.9161255,2.433868,125.98393,71.97811,1.4757386,0.5978858,5.570642,0.005638664,0.044706948,0.015229906,2.8014474,336.55554,42.80884,1.2608373,30.126064,50.483334,86.28109,0.5953021
427,1.0,5.9084816,0.8396878,0.07943937,0.08087282,0.0,0.6267532,62.650993,52.656914,1.8665104,3.5891557,70.32934,0.115338884,0.6844519,0.20020926,0.0,0.6771492,71.54214,62.55233,1.3364613,2.7182653,130.72636,68.91479,2.460043,0.73028684,6.023072,0.0050932555,0.0403826,0.009522365,-1.407969,331.22308,53.83341,1.3953441,26.172222,49.683464,86.215675,0.5755881
428,1.0,25.16868,0.5708313,0.20785964,0.15066044,0.070648625,1.0000002,62.775414,62.775444,1.6568671,4.550818,75.711266,0.13756527,0.7592643,0.10317041,0.0,0.67821276,70.38439,61.453697,2.217198,3.1234555,128.44025,68.24734,2.6490836,0.7899184,7.699966,0.004872679,0.038633727,0.017403034,6.207091,345.26538,44.065636,0.9433887,22.117731,51.789806,86.18922,0.6010504
429,1.0,6.1738043,0.3614233,0.04592913,0.0727793,0.51986825,0.9999998,63.630974,63.630974,1.6189219,1.497349,85.33925,0.13285333,0.7098712,0.15727547,0.0,0.769083,72.79598,66.69396,1.9204189,3.35718,127.894775,68.58602,2.06621,0.6785148,7.1587377,0.0054206103,0.042978078,0.01638172,4.295518,341.18106,45.466415,1.2407949,23.642727,51.17716,86.25494,0.592918
430,1.0,2.5790448,0.9156884,0.008868345,0.07544328,4.269714E-19,0.71114653,64.11858,56.752586,2.3608053,2.8842912,59.345493,0.09819342,0.6629523,0.23885424,0.0,0.83824027,71.96981,67.8926,1.3619702,2.2499008,131.8992,69.27383,2.2378767,0.87044597,9.573307,0.008563255,0.06789499,0.012983179,-0.9337139,340.18192,54.279552,1.505025,18.35445,51.027287,86.63187,0.58860004
431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
432,1.0,7.9101377,0.3739907,0.016408656,0.10593351,0.5036671,0.999999,69.16793,69.1679,1.476972,1.658334,39.127148,0.077324,0.7430616,0.17961441,0.0,0.75863576,76.303154,70.13479,1.8203765,1.6404815,121.914185,70.874535,1.8333546,0.5621245,4.988153,0.0045188065,0.035828,0.016726643,5.999017,329.48282,45.616955,1.5000607,30.995564,49.422424,86.146774,0.5739078
433,0.0,6.069998,0.58448803,0.124161825,0.09495304,0.19639708,0.99999964,66.21209,66.21206,2.3210576,1.8959379,46.195354,0.069479965,0.6273988,0.30312127,0.0,0.87709486,71.79763,68.862144,1.157201,1.7010612,125.084885,69.14034,1.9004151,0.8275928,9.244479,0.007286463,0.057771757,0.0070497175,0.20372462,330.3922,59.43959,1.7712383,20.0044,49.55883,86.47873,0.5606148
434,1.0,6.8181667,0.56208885,0.31223938,0.12567174,0.0,0.83134055,64.32287,60.604332,1.7061968,1.8697263,104.66987,0.13536322,0.6782479,0.18638884,0.0,0.7006645,71.261955,62.97399,1.5453843,3.9780765,134.28679,69.31405,2.7623055,0.8407621,8.317973,0.004612092,0.03656763,0.008477822,-0.76011515,339.93893,49.73558,1.2547371,19.676205,50.990837,86.15797,0.59141064
435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
